rule,Antecedent1,Antecedent2,Antecedent3,Consequent
1,near,low,low,Medium
2,near,low,moderate,Medium
3,near,low,high,Weak
4,near,moderate,low,Strong
5,near,moderate,moderate,Strong
6,near,moderate,high,Medium
7,near,high,low,VeryStrong
8,near,high,moderate,VeryStrong
9,near,high,high,Strong
10,moderate,low,low,Weak
11,moderate,low,moderate,Weak
12,moderate,low,high,VeryWeak
13,moderate,moderate,low,Medium
14,moderate,moderate,moderate,Medium
15,moderate,moderate,high,Weak
16,moderate,high,low,Strong
17,moderate,high,moderate,Strong
18,moderate,high,high,Medium
19,far,low,low,VeryWeak
20,far,low,moderate,VeryWeak
21,far,low,high,VeryWeak
22,far,moderate,low,Weak
23,far,moderate,moderate,Weak
24,far,moderate,high,VeryWeak
25,far,high,low,Medium
26,far,high,moderate,Medium
27,far,high,high,Weak
